time,timestamp,key,TOTAL_VOLUME,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,OPEN_PRICE,REGULAR_MARKET_LAST_PRICE,REGULAR_MARKET_TRADE_TIME,REGULAR_MARKET_TRADE_DAY,REGULAR_MARKET_NET_CHANGE,QUOTE_TIME_IN_LONG,TRADE_TIME_IN_LONG
2021-03-29 15:05:57.870211-04:00,1617044757843,TSLA,23432074,,,,,609.4958,53457,,-9.2142,1617043857525,1617043857315
2021-03-29 15:05:58.372768-04:00,1617044758348,TSLA,23432154,,,,,,,,,1617043858183,
2021-03-29 15:05:58.903368-04:00,1617044758877,TSLA,23432262,,,,,,,,,1617043858703,
2021-03-29 15:05:59.457975-04:00,1617044759428,TSLA,23433104,,,,,609.6,53459,,-9.11,1617043859204,1617043859105
2021-03-29 15:06:00.020699-04:00,1617044759987,TSLA,23435058,,,,,609.71,,,-9,1617043859954,1617043859835
2021-03-29 15:06:01.071354-04:00,1617044761038,TSLA,23438111,,,,,,,,,1617043860955,
2021-03-29 15:06:01.619302-04:00,1617044761585,TSLA,23438830,,,,,609.84,53461,,-8.87,1617043861441,1617043861339
2021-03-29 15:06:02.199867-04:00,1617044762143,TSLA,23442048,,,,,610,,,-8.71,1617043861908,1617043861637
2021-03-29 15:06:02.723754-04:00,1617044762690,TSLA,23443634,,,,,610.07,53462,,-8.64,1617043862446,1617043862444
2021-03-29 15:06:03.268010-04:00,1617044763216,TSLA,23444224,,,,,610.1497,,,-8.5603,1617043862929,1617043862648
2021-03-29 15:06:03.810618-04:00,1617044763779,TSLA,23445362,,,,,610.13,53463,,-8.58,1617043863681,1617043863680
2021-03-29 15:06:04.326583-04:00,1617044764294,TSLA,23446550,,,,,610.1033,,,-8.6067,1617043864193,1617043863938
2021-03-29 15:06:04.869630-04:00,1617044764835,TSLA,23447137,,,,,610.11,53464,,-8.6,1617043864707,1617043864537
2021-03-29 15:06:05.406309-04:00,1617044765363,TSLA,23450914,,,,,609.7312,53465,,-8.9788,1617043865179,1617043865071
2021-03-29 15:06:05.911652-04:00,1617044765885,TSLA,23451192,,,,,609.63,,,-9.08,1617043865661,1617043865416
2021-03-29 15:06:06.421132-04:00,1617044766394,TSLA,23452476,,,,,609.9197,,,-8.7903,1617043866208,1617043865879
2021-03-29 15:06:06.990063-04:00,1617044766956,TSLA,23458877,,,,,609.69,53466,,-9.02,1617043866709,1617043866681
2021-03-29 15:06:07.502201-04:00,1617044767467,TSLA,23458898,,,,,,,,,1617043867096,
2021-03-29 15:06:08.057822-04:00,1617044768027,TSLA,23459701,,,,,609.49,53467,,-9.22,1617043867962,1617043867809
2021-03-29 15:06:08.604757-04:00,1617044768578,TSLA,23459921,,,,,609.61,53468,,-9.1,1617043868371,1617043868162
2021-03-29 15:06:09.169774-04:00,1617044769141,TSLA,23461363,,,,,609.32,,,-9.39,1617043868849,1617043868620
2021-03-29 15:06:10.229062-04:00,1617044770191,TSLA,23461515,,,,,,,,,1617043869615,
2021-03-29 15:06:10.746674-04:00,1617044770717,TSLA,23462571,,,,,609.426,53470,,-9.284,1617043870108,1617043870235
2021-03-29 15:06:11.266397-04:00,1617044771235,TSLA,23463073,,,,,609.362,,,-9.348,1617043870585,1617043870501
2021-03-29 15:06:11.822210-04:00,1617044771771,TSLA,23463594,,,,,609.18,53471,,-9.53,1617043871676,1617043871316
2021-03-29 15:06:12.309765-04:00,1617044772282,TSLA,23463601,,,,,,,,,1617043872204,
2021-03-29 15:06:12.874304-04:00,1617044772845,TSLA,23463778,,,,,,,,,1617043872632,
2021-03-29 15:06:13.441972-04:00,1617044773408,TSLA,23463792,,,,,,,,,1617043873212,
2021-03-29 15:06:14.003392-04:00,1617044773973,TSLA,23463895,,,,,,,,,1617043873712,
2021-03-29 15:06:14.517972-04:00,1617044774485,TSLA,23463934,,,,,,,,,1617043874212,
2021-03-29 15:06:15.068185-04:00,1617044775035,TSLA,23464649,,,,,609.4028,53474,,-9.3072,1617043874945,1617043874901
2021-03-29 15:06:15.612807-04:00,1617044775584,TSLA,23465407,,,,,609.58,53475,,-9.13,1617043875440,1617043875415
2021-03-29 15:06:16.123490-04:00,1617044776096,TSLA,23465760,,,,,609.63,,,-9.08,1617043875912,1617043875570
2021-03-29 15:06:16.636193-04:00,1617044776603,TSLA,23466307,,,,,609.675,53476,,-9.035,1617043876405,1617043876275
2021-03-29 15:06:17.189313-04:00,1617044777151,TSLA,23466570,,,,,609.648,,,-9.062,1617043876894,1617043876608
2021-03-29 15:06:17.719701-04:00,1617044777684,TSLA,23466773,,,,,609.665,53477,,-9.045,1617043877452,1617043877091
2021-03-29 15:06:18.233485-04:00,1617044778192,TSLA,23466854,,,,,,,,,1617043877931,
2021-03-29 15:06:18.739513-04:00,1617044778713,TSLA,23466874,,,,,,,,,1617043878423,
2021-03-29 15:06:19.276961-04:00,1617044779250,TSLA,23466879,,,,,,,,,1617043879206,
2021-03-29 15:06:19.812503-04:00,1617044779786,TSLA,23466980,,,,,609.6,53479,,-9.11,1617043879643,1617043879631
2021-03-29 15:06:20.352597-04:00,1617044780326,TSLA,23467171,,,,,609.605,53480,,-9.105,1617043880203,1617043880017
2021-03-29 15:06:20.875447-04:00,1617044780845,TSLA,23467195,,,,,,,,,1617043880697,
2021-03-29 15:06:21.374884-04:00,1617044781350,TSLA,23467601,,,,,609.585,53481,,-9.125,1617043881175,1617043881077
2021-03-29 15:06:21.905303-04:00,1617044781877,TSLA,23467652,,,,,,,,,1617043881669,
2021-03-29 15:06:22.453785-04:00,1617044782427,TSLA,23467668,,,,,,,,,1617043882215,
2021-03-29 15:06:23.016102-04:00,1617044782987,TSLA,23468631,,,,,609.63,53482,,-9.08,1617043882684,1617043882674
2021-03-29 15:06:23.583759-04:00,1617044783545,TSLA,23468966,,,,,609.54,53483,,-9.17,1617043883433,1617043883129
2021-03-29 15:06:24.146246-04:00,1617044784096,TSLA,23469543,,,,,,,,,1617043883935,
2021-03-29 15:06:24.687083-04:00,1617044784649,TSLA,23469845,,,,,609.726,53484,,-8.984,1617043884368,1617043884181
2021-03-29 15:06:25.190130-04:00,1617044785162,TSLA,23469994,,,,,,,,,1617043884780,
2021-03-29 15:06:25.735070-04:00,1617044785708,TSLA,23469996,,,,,,,,,1617043885349,
2021-03-29 15:06:26.282249-04:00,1617044786234,TSLA,23470234,,,,,609.6829,53485,,-9.0271,1617043885942,1617043885842
2021-03-29 15:06:26.789906-04:00,1617044786759,TSLA,23470502,,,,,,,,,1617043886717,
2021-03-29 15:06:27.338131-04:00,1617044787307,TSLA,23471385,,,,,609.86,53487,,-8.85,1617043887207,1617043887199
2021-03-29 15:06:27.847005-04:00,1617044787816,TSLA,23471766,,,,,609.835,,,-8.875,1617043887533,1617043887587
2021-03-29 15:06:28.352330-04:00,1617044788322,TSLA,23472208,,,,,609.9,,,-8.81,1617043888155,1617043887837
2021-03-29 15:06:28.886308-04:00,1617044788853,TSLA,23472548,,,,,609.855,53488,,-8.855,1617043888638,1617043888478
2021-03-29 15:06:29.388072-04:00,1617044789359,TSLA,23474013,,,,,609.95,53489,,-8.76,1617043889201,1617043889200
2021-03-29 15:06:29.980333-04:00,1617044789892,TSLA,23477004,,,,,610.12,,,-8.59,1617043889716,1617043889585
2021-03-29 15:06:30.457964-04:00,1617044790427,TSLA,23478830,,,,,610.17,53490,,-8.54,1617043890212,1617043890106
2021-03-29 15:06:30.979356-04:00,1617044790946,TSLA,23479024,,,,,610.135,,,-8.575,1617043890693,1617043890301
2021-03-29 15:06:31.501217-04:00,1617044791472,TSLA,23480725,,,,,610.44,53491,,-8.27,1617043891217,1617043891170
2021-03-29 15:06:32.012297-04:00,1617044791985,TSLA,23480942,,,,,610.0501,,,-8.6599,1617043891709,1617043891506
2021-03-29 15:06:32.545892-04:00,1617044792514,TSLA,23481484,,,,,610.2332,53492,,-8.4768,1617043892426,1617043892279
2021-03-29 15:06:33.069622-04:00,1617044793042,TSLA,23482218,,,,,610.22,,,-8.49,1617043892917,1617043892760
2021-03-29 15:06:33.589660-04:00,1617044793562,TSLA,23482940,,,,,610.11,53493,,-8.6,1617043893427,1617043893413
2021-03-29 15:06:34.130637-04:00,1617044794100,TSLA,23483962,,,,,609.9213,,,-8.7887,1617043893956,1617043893713
2021-03-29 15:06:34.659330-04:00,1617044794633,TSLA,23484181,,,,,610.11,53494,,-8.6,1617043894434,1617043894230
